영단어,한국단어
OPTICAL TRANSFER FUNCTION,광학적 전달함수
OPTIMUM WORKING FREQUENCY,최적 주파수 사용
OPTOELECTRONICS INTEGRATED CIRCUIT,광전자 집적 회로
ORE. BULK OIL CARRIER,"광석,BULK, 기름등을 복합 운송 할 수 있는 COMBINED CARRIER의 일종"
ORGANIC PHOTOCONDUCTIVE CELL,유기 광도전체
ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,경제 협력 개발기구
ORGANOMETALLIC COMPOUND CVD,유기 금속 CVD 법
ORIGINAL EQUIPMENT MANUFACTURING,주문자 상표 부착 생산자
ORIGINAL EQUIPMENT MANUFACTURING(ER),공급원(자) 기업명의 판매
OSPAR Convention,OSPAR 협약
OUT PUT TRANSFORMER,출력 변성기
OUTER DIAMETER,외경
OUTFITTING,의장
OUTPUT TRANSFORMERLESS,무변성 출력
OUTPUT TRUNK,출력 트렁크
OVER CURRENT,과전류
OVER CURRENT BREAKER,과전류 차단기
OVER CURRENT GROUND RELAY,과전류 접지 계전기
OVER CURRENT RELAY,과전류 계전기
OVER LOAD,과부하
OVER LOAD RELAY,과부하 계전기
OVER VOLTAGE RELAY,과전압 계전기
OVERHEAD POSITION,위보기 자세
OVERHEAD POSITION WELDING,상향자세 용접
OVERLOAD WEIGHTING,과부하측정장치
OVERLOAD WEIGHTING DEVICE,과부하측정장치
OXYGEN,"산소, 원자번호 8"
Oakum,오컴
Oar,노
Oar Lifeboat,노구명정
Obliged Vessel,의무선
Oblique section,경사 단면(傾斜斷面)
Observance of the due date,완료일 준수
Observation,관찰사항
Observation Error,관측 오차(觀測誤差)
Ocan Current,해류
Occasional Inspection,임시 검사(臨時檢査)
Occupancy requirement,최소장비 가동율
Ocean Going Sea,원양구역
Ocean Weather Ship,정점관측선
Odd Number / Even Number,홀수/짝수
Off-load release capability,무부하 이탈능력
Office Automation,사무 자동화
Officer,해기사
Official Sea Trial,공시운전(公試運轉)
Official Trial,공식시운전
Offsets,선체치수(船體値數)표
Offshore Landing Station,해상부두
Oil Absorption Mat,기름흡착 매트
Oil Brake,유압브레이크
Oil Burner,오일버너
Oil Circuit Breaker,유입 차단기
Oil Coaming,기름누설방지테두리
Oil Content Meter,유분농도계
Oil Dispersant Sprinkling Device,유처리제살포장치
Oil Fence,오일펜스
Oil Filling Connection,오일필링커넥션
Oil Filling Pipe,주유관
Oil Lubricated Stern Tube Bearing,기름윤활식 선미베어링
Oil Mist Detector,유증기 검출기
Oil Paint,유성페인트
Oil Recovery Equipment,기름 회수기
Oil Seal,오일 시일
Oil Sump,오일섬프
Oil Switch,오일스위치
Oil Tanker,유조선
Oil/Bulk Carrier,벌크유조선
Oiler,조기수
Oiltight Bulkhead,유밀 격벽(油密隔壁)
Oiltight Test,유밀시험
Oily Sludge Burning Auxiliary Boiler,폐유연소보조보일러
Oily Water Separator,유수(油水) 분리기
On Load Tap Changer,부하시 탭 전환장치
On Load Voltage Regulator,부하시 전압조정기
On-Board,선상(船上)，선내
On-Board Outfitting,선내 의장(船內艤裝)
On-Board Services,선상 공무지원
On-Board Test Procedure,선내시험 절차서
On-block Outfitting,블록의장(艤裝)
On-ceiling Outfitting,상부(천장부위) 의장
On-floor outfitting,지상의장(地上艤裝)
On-load release capability,부하 이탈능력
On-unit Outfitting,유니트 의장
Onboard Test,선내시험
One-Sided Welding,일면 용접(一面熔接)
Open Boat,무갑판선
Open Circuit Voltage,개회로 전압
Open Floor,조립 늑판(組立肋板)
Open Grating,격자모양 발판
Open Hawser,오픈로저
Open Roadstead,자유정박지
Open Space(Blue Sky) Fitting,개방상태 설치
Open Type Bearing,개방베어링
Operating Manual,작동 설명서
Operating Oil Pump,작동유펌프
Operating Oil Tank,작동유탱크
Operating Register,발진 레지스터
Operation Measure,운항 조치
Operation Process Chart,작업 공정도표
Operational Precaution,작동시 주의사항
Optical Bistable Device,광 2 안정 소자
Optical Character,광학식 문자인식
Optical Fiber Cable,광(光) 케이블
Optical Fiber Tube,광 섬유관
Optical Laser,광 레이져
Optical Log,옵티컬로그
Optical Mark Reader,광학식 마크 판독장치
Optical Sensor,광 센서
Optical Transfer Function,광학적 전달함수
Optical rediation,광방사
Optimization,최적화(最適化)
Optimum Design,최적 설계(最適設計)
Optimum Working Frequency,최적 주파수 사용
Optoelectronics Integrated,광전자 집적 회로
Ordinary Frame,일반 늑골(一般肋骨)
Ordinary Temperature,상온(常溫)
Ore Carrier,광석 운반선
Organic Photoconductive,유기 광도전체
Organometallic Compound,유기 금속 CVD 법
Orifice,오리피스
Original Equipment,주문자 상표 부착 생산자
Oscilloscope,오실로스코프
Otter Board,오터보드
Otter Trawler,오터트롤러
Out Put Transformer,출력 변성기
Outboard,선외측(船外側으로)
Outboard Discharge Pipe,선외배출관
Outboard Motor,선외기관
Outboard Profile,선체측면도
Outdoor Piping,옥외배관(屋外 配管)
Outer Hull,바깥선각
Outfit,배의)의장
Outfit Planning,의장작업 계획
Outfitting,의장
Outfitting Quay,의장 안벽
Outfitting Scheduling System,의장 일정계획체계
Outfitting Zone,의장 구획(艤裝區劃)
Outligger,아웃리거
Output,출력
Output Transformerless,무변성 출력
Output Trunk,출력 트렁크
Outreach,아웃리이치
Outside Assembly Site,옥외 조립장
Outside Cabin,외측선실
Outside Staging,바깥발판
Outstanding Item,미해결(未解決) 사항
Over Current,과전류
Over Current Ground Relay,과전류 접지 계전기
Over Current Relay,과전류 계전기
Over Load,과부하
Over Load Relay,과부하 계전기
Over Speed Limit,초과속도한계
Over Voltage Relay,과전압 계전기
Over current breaker,과전류 차단기
Overall Efficiency,종합 효율(綜合效率)
Overall Evaluation,종합 평가(綜合評價)
Overall Propulsive Efficiency,종합 추진 효율
Overboard Discharge,선외배출(船外排出)
Overcurrent Protection Device,과전류 보호장치
Overflow,넘치다
Overflow Pipe,넘칠관
Overflow System,넘침장치
Overhaul,분해 점검(分解點檢)
Overhaul Inspection,개방검사
Overhead (Position) Welding,위보기 용접
Overhead Cost,간접비(間接費)
Overhead Factors,간접비(間接費) 요소
Overhead Travelling Crane,천장주행 크레인
Overheating,과열(過熱)
Overlap,오우브 랩
Overload,과부하
Overload Operation,과부하(過負荷) 운전
Overload Output,과부하 출력
Overload Trip,과부하 트립
Overloading,과적
Overrboard Discharge Pipe,현외배출관
Oversize,과대촌법(過大寸法)
Overspeed Protection,과속도 보호
Overtime,잔업(殘業)
Overweight,중량초과(重量超過)
Owner's Approval Comment,도면승인시의 선주(船主) 코멘트
Owner's Inspector,선주검사관
Owner’s right to limit liability,선주 책임제한권
Oxidation,산화(酸化)
Oxidizing Flame,산화염
Oxy-Arc Cutting,산소 아크절단
Oxy-acetylene Welding,산소 아세틸렌 용접
Oxy-arc Cutting,산소아크절단
Oxy-hydrogen Welding,산소 수소용접
Oxydizing Flame,산화불꽃
Oxygen Gouging,산소홈파기
Oxygen Purity,산소 순도(酸素純度)
Oxyhydrogen Welding,산수소용접
Oxyoropane Cutting,산소프로판절단
P & I Club (Protection and Indemnity Club),선주책임 상호보험 조합
P & ID (Piping and Instrumentation Diagram),배관및 계장도면
P&I insurance (Protection & Indemnity insurance),선주상호보험
P-V (Pressure-Vacuum) Valve,압력/진공 밸브
P/B (Power Brushing),동력공구 사용 전처리
P/C (Product Carrier),정제유 운반선
P/N (Part Number),부품 번호(部品番號)
PA (Public Adress),선내 지령장치
PACKAGE BLASTING MACHINE,SET로 된 브라스팅기기
PANTING STRINGER,선수 / 선미 파도 대비 중재
PARAMETRIC ROLL,파라메트릭롤
PART NUMBER,부품번호(MSC:MATERIAL SPECIFICATION CODE와 동의어)
PART(S) PER MILLION,100만분의 1(미소함유량의 단위)
PART(S) PER MINUTE,분당 회전수(측정 단위)
PBS (Push Button Switch),누름 단추스위치
PCB ( Printed Circuit Board),인쇄 회로기판
PCC(Pure Car Carrier),자동차 전용운반선
PCG (Productivity Control Group),생산성 관리단위
PCS,항만 커뮤니티 시스템
PD (Power Distribution) Panel,동력배전반
PDCA,데밍사이클
PDCA (Plan-Do-Check-Act) Approach,계획/실시/점검/조치의 순환방식
PE : Pre Erection,프리 이렉션
PEAK INVERSE VOLTAGE,피크 역전압
PEEP HOLE [P.H],화염관찰구멍
PENETRATION,관통
PERFORMANCE(BANK)GUARA,이행보증
PERFORMANCE(BANK)GUARANTEE,이행보증
PERIODICALLY UNATTENDED MACHINERY SPACE,DNV(노르웨이 선급) 무인화등급
PERT (Program Evaluation and Review Technique),공정관리 기법
PETROCHEMICAL FACILITY PROJECT,화공설비사업
PFOS,과불화옥탄술폰산
PFSO,항만보안책임자
PHASE DIFFERENCE,위상차
PHASE MODULATION,위상 변조
PHASE SHIFT KEYING,위상 편이 방식
PHOTO-ELETRIC DEVICE,광전장치
PHOTOCONDUCTIVE EFFECT,광도전 효과
PHOTOELECTFIC EFFECT,광전효과
PHOTOEMIS-SIVE EFFECT,광전자 방출효과
PHOTOVOLTAIC CELL,광전지
PHOTOVOLTAIC EFFECT,광기전 효과
PI (Performance Index),성과지표
PI (pressure Indicator),압력 지시기
PIC (Press. Indicating Controller),압력지시 제어기
PICO FARAD,용량 단위
PIEZO EFFECT,피에조 효과
PILOT HOUSE,조타실
PIPE ISOMETRIC DRAWING,배관설치도
PIPING AND INSTRUMENT DIAGRAM,배관 계장 계통도
PITCH,피치
PLANED MACHINERY SURVEY,예방 정비 계획 검사
PLANT DESIGN CONTROL SYSTEM,일정관리
PLANT DESIGN GENERAL SYSTEM,문서관리
PLANT PRODUCTION INFORMATION SYSTEM,작업관리
PLATE,판
PLATFORM,프렛폼
PLC (Programmable Logic Controller),프로그램가능 (可能) 논리제어기
PM (Preventive Maintenance),예방보전
PM (Productive Maintenance),생산보전(生産保全)
PML (Pallet Material List),파레트 자재목록표
PMS (Power Management System),발전기 외적(外的) 제어 시스템
PND (Production Need Date),생산 소요일
PO(Purchase Order),자재 주문서
POINT FINAL INSPECTION,최종도장검사
POLAR CODE,극지 해역을 운항하는 선박에 대한 국제 코드
POLLUTER PAYS PRINCIPLE,공해 방지 설비에 대한 비용. 오염자 부담 원칙
POR (Purchase Order Request),자재주문 요구서
POROSITY,기공(작은 구멍)
PORTSIDE STARBOARDSIDE. AFT. FORE,좌현. 우현. 선미. 선수
POST,포스트
POST WELD HEAT,응력제거 후열처리
POST WELD HEAT TREATMENT,응력제거 후열처리
POTABLE WATER TANK,식수 탱크
POTENTIAL TRANSFORMER,계기용 변압기
POWER ACTUATED PRESSURE RELIEF VALVE,동력 구동 압력 이완 밸브
POWER BRUSHING,동력공구를 사용해서 소제를(철판) 실시하는것
POWER FACTOR,역률
POWER GENERATOR,발전기
POWER OF ATTORNEY,위임장
PPB(Parts per Billion),십억분의 일(1/10억)
PPM(Parts per Million),백만분의 일(1/100만)
PQR LIST OF AUTOMATIC,PROCEDURE QUALIFICATION RECORD 적용No.
PQR LIST OF MANUAL,PROCEDURE QUALIFICATION RECORD 적용No.
PRACTICAL SPREADING RATE,사용 적정량
PRECISION MEASURING EQUIPMENT,정밀측정장치
PRESSURE HEAD,수두
PRESSURE SWITCH,압력 스위치
PREVATE ACTION REQUIREMENT,예방조치요구서
PRF),항만수용시설
PRINTED CIRCUIT BOARD,프린트 배선 회로용 기판
PRISMATIC COEFFICIENT,주형계수
PRIVATE AUTOMATIC BRANCH EXCHANGE,구내 자동 교환기
PROBABILISTIC STABILITY,확률론적 복원성
PROCEDURE QUALIFICATION REQUIRE,시공인정 기록서
PROCEDURE QUALIFICATION TEST RECORD,용접법승인 시험 기록서
PROCESS FLOW DIAGRAM,제조공정계통도
PROCESSES AND PRODUCTION METHODS,공정 및 생산 방식
PRODUCT CARRIER,석유제품운송선
PRODUCT LIABILITY,제조품 책임
PRODUCTION NEED DATE,생산소요요구일
PROFESSIONAL CADAM,EWS에서 운용되는 CADAM 시스템
PROGRESSIVE FLOODING,점진적 침수
PROJECT,공사
PROJECT ENGINEER,프로젝트엔지니어
PROJECT MANAGEMENT,프로젝트관리
PROJECTOR AVAILABLE BALANCE,계획 재고수량
PROPELLER SHAFT SURVEY,프로펠라 축 검사
PROTECTION AND INDEMNITY CLUB,선주 책임상호보험조합
PROTECTIVE RATIO,보호비
PROTECTIVE RELAY,보호 계전기
PS (Postscript),추신(追伸)
PS(Pressure Switch),압력 스위치
PS-LTE,재난안전통신망
PSC,항만국통제
PSC (Port State Control),항만국(港灣國) 통제
PSC White List PSC Gray List PSC Black List,항만국통제 화이트리스트
PSCO,항만국통제관
PSI (Pounds per Square Inch),압력단위 ( 1psi =1/14.22kg/cm2)
PSMA,항만국 조치협정
PSPC,보호도장 성능 기준
PSSA,특별민감해역
PSW,항만싱글윈도우
PT (Press. Transmitter),압력 발신기
PT : Penetration (Liquid)Test,침투(액)탐상시험
PT : Penetration Test,피티
PT(Liquid Penetrant Test),침투 탐상시험
PT(Penetrant Test),액체침투탐상검사
PTO (Power-Take-Off),추진기관 동력분리 장치(動力分離裝置)
PULSATING CURRENT,맥동 전류
PULSE AMPLITUDE MODULATION,펄스 진폭 변조
PULSE CODE MODULATION,펄스 부호 변조
PULSE DURATION MODULATION,펄스 지속 변조
PULSE FREQUENCY MODULATION,펄스 주파수 변조
PULSE NUMBER MODULATION,펄스수 변조
PULSE PHASE MODULATION,펄스 위상 변조
PULSE TIME MODULATION,펄스 시간 변조
PULSE WIDTH MODULATION,펄스 폭 변조
PUMP ROOM,펌프실
PUNCH CARD SYSTEM,천공 카드 시스템
PURCHASE ODER,자재주문서
PURCHASE ORDER,자재구매요구서
PURCHASE ORDER QUANTITY,주문 수량
PURCHASE ORDER REQUISITION,자재구매요구서
PURCHASE ORDER SPECIFICATION,자재 발주 사양서
PURCHASE REQUEST,구매 요구
PURCHASE REQUISION QUANTITY,구매 요구수량
PURCHASE SPECIFICATION,계약 사양서
PURCHASING POWER PARITY,구매력의 평가
PURE CAR CARRIER,자동차운송전용선
PURE LOSS OF STABILITY,순수 복원성 상실
PURLIN,서까래도리
PWBS (Product Work Breakdown Structure),제품중심 작업 구분체계
PWT(Potable Water Tank),음용수 탱크
Packing Ring,패킹링
Packing Stick,패킹경화
Pad,겹판
Padding,살돋움
Paddle Steamer,외륜선
Padlock,자물쇄
Paint Dipping,침적도장(沈滴塗裝)
Paint Scraper,페인트긁개
Painter,페인터
Panama Canal Signal Light,파나마운하신호등
Panama Canal Tonnage,파나마운하톤수
Panama Chock,파나마촉
Panamax B/C,파나막스(7만톤 B/C)
Panel Fitting,패널공사
Panel Line,평(平) 블록 라인
Panel Vibration,패널진동
Panel Work,패널작업
Panting,팬팅
Panting Action,팬팅작용
Panting Arrangement,팬팅구조
Panting Stringer,팬팅종통재(縱通材)
Pantry,식기/식품 대기실
Parachute Signal,낙하산붙이 신호
Parallel Middle Body,선체중앙평행부
Parallel Middlebody,선체중앙 평행부
Parallel Running,병렬운전(竝列運轉)
Paravane,파라베인
Pareto Analysis,파레토 분석
Paris Agreement,파리협정
Parkerizing,파커라이징
Part A,A편(강제규정)
Part Assembly,소조립
Part B,B편(권고지침)
Partial Joint Penetration : PJP,부분용입
Partial Penetration,부분용입 용접
Participants,참석자
Partition Wall,칸막이 벽
Party,당사국
Pascal,파스칼 (압력단위) (1 kPa=0.0102kg/cm2)
Pass Sequence,패스순서
Passageway,통로(通路)
Passenger Liner,정기여객선
Passenger Ship,객선
Passenger Ship Safety Certificate,여객안전증서
Passenger in transit,통과 승객
Passenger-cargo Ship,화객선
Passivation,반도체 칩 표면에 보호막을 씌움
Past Experiance,과거 경험(過去經驗)
Patrol Boat,순시선
Patterner,목형공
Payback Period Method,자본회수 기간법
Peak Frame,피크늑골
Peak Inverse Voltage,피크 역전압
Peak Tank,피크탱크
Pearl Boat,진주채취선
Peel Off,박리(剝離)
Peening,피닝
Peening Hammer,피닝해머
Pending,미결(未決)，보류
Pendulum Impact Testing Machine,진자식충격시험기
Penetration,페네트레이션
Penetration Piece,관통(貫通) 피이스
Percussion Welding,방전 충격용접
Perforated Plate,구멍난 부재판
Performance Test,성능 시험(性能試驗)
Period of Pitching,피칭주기
Period of Validity,유효기간(有效期間)
Periodic Maintenance,정기 정비(定期整備)
Periodical Survey,정기 검사(定期檢査)
Peripheral Devices,주변 장치
Permanent Ballast,고정(固定) 발라스트
Permanent Means of Access (PMA),상설접근설비
Permeability,침수율
Permiability,투수율
Permissible Delay,허용(許容) 인도지연
Permissible Length,허용길이
Perpendicular,수 직(垂直)
Personal Allowance,생리 여유(生理餘裕)
